date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:52	37144/37144	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Dec%202020%2018:43:18%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/header-logo.png	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/header-logo.png	(from https://ntf.foundstaging.com/)
12:01:52	71865/71865	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:53%20GMT	https://ntf.foundstaging.com/ar/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/ar/index.html	(from https://ntf.foundstaging.com/)
12:01:53	58020/58020	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:54%20GMT	https://ntf.foundstaging.com/about-us/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/about-us/index.html	(from https://ntf.foundstaging.com/)
12:01:53	189412/189412	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:33:49%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/land-freight-1.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/land-freight-1.jpg	(from https://ntf.foundstaging.com/)
12:01:54	60023/60023	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:54%20GMT	https://ntf.foundstaging.com/services/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/services/index.html	(from https://ntf.foundstaging.com/)
12:01:55	59151/59151	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:56%20GMT	https://ntf.foundstaging.com/service/land-transport/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/service/land-transport/index.html	(from https://ntf.foundstaging.com/)
12:01:55	304076/304076	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:33:54%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/ocean-freight-1-1.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/ocean-freight-1-1.jpg	(from https://ntf.foundstaging.com/)
12:01:55	58899/58899	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:55%20GMT	https://ntf.foundstaging.com/service/air-freight/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/service/air-freight/index.html	(from https://ntf.foundstaging.com/)
12:01:56	59004/59004	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:57%20GMT	https://ntf.foundstaging.com/service/sea-freight/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/service/sea-freight/index.html	(from https://ntf.foundstaging.com/)
12:01:57	401827/401827	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2008:18:45%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/air-freight.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/air-freight.jpg	(from https://ntf.foundstaging.com/)
